@relation TrainMatrixB
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute attr9 {0,1}
@attribute attr10 {0,1}
@attribute attr11 {0,1}
@attribute attr12 {0,1}
@attribute attr13 {0,1}
@attribute attr14 {0,1}
@attribute attr15 {0,1}
@attribute attr16 {0,1}
@attribute attr17 {0,1}
@attribute attr18 {0,1}
@attribute attr19 {0,1}
@attribute attr20 {0,1}
@attribute attr21 {0,1}
@attribute attr22 {0,1}
@attribute attr23 {0,1}
@attribute attr24 {0,1}
@attribute attr25 {0,1}
@attribute attr26 {0,1}
@attribute attr27 {0,1}
@attribute attr28 {0,1}
@attribute attr29 {0,1}
@attribute attr30 {0,1}
@attribute attr31 {0,1}
@attribute attr32 {0,1}
@attribute attr33 {0,1}
@attribute attr34 {0,1}
@attribute attr35 {0,1}
@attribute attr36 {0,1}
@attribute attr37 {0,1}
@attribute attr38 {0,1}
@attribute attr39 {0,1}
@attribute attr40 {0,1}
@attribute attr41 {0,1}
@attribute attr42 {0,1}
@attribute attr43 {0,1}
@attribute attr44 {0,1}
@attribute attr45 {0,1}
@attribute attr46 {0,1}
@attribute attr47 {0,1}
@attribute attr48 {0,1}
@attribute attr49 {0,1}
@attribute attr50 {0,1}
@attribute attr51 {0,1}
@attribute attr52 {0,1}
@attribute attr53 {0,1}
@attribute attr54 {0,1}
@attribute attr55 {0,1}
@attribute attr56 {0,1}
@attribute attr57 {0,1}
@attribute attr58 {0,1}
@attribute attr59 {0,1}
@attribute attr60 {0,1}
@attribute attr61 {0,1}
@attribute attr62 {0,1}
@attribute attr63 {0,1}
@attribute attr64 {0,1}
@attribute attr65 {0,1}
@attribute attr66 {0,1}
@attribute attr67 {0,1}
@attribute attr68 {0,1}
@attribute attr69 {0,1}
@attribute class {0,1}
@data
4,2,3,4,0,2,2,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,4,4,0,2,0,3,0,4,0,2,0,1,4,2,3,4,4,0,2,2,1,0,4,2,0,4,2,4,2,0,4,4,4,0,1,0,2,3,0,2,0,4,2,0,0,0,0,1
7,2,0,0,0,2,2,0,1,1,1,1,0,0,1,1,1,0,2,0,0,0,7,7,0,2,0,0,0,7,0,2,0,1,7,2,0,7,7,0,2,2,1,1,7,2,1,7,2,7,2,1,0,7,7,0,1,1,1,0,1,2,1,7,2,1,1,0,0,1
3,3,0,1,1,3,3,0,0,3,5,0,0,0,3,1,1,0,1,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,3,3,0,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,1,3,3,0,0,3,5,0,1,3,1,3,3,1,1,0,0,1
5,2,1,2,7,2,2,0,0,1,1,0,1,0,2,1,1,0,3,0,0,0,5,5,0,2,0,1,1,5,0,2,0,0,5,2,1,5,5,0,2,2,0,1,5,2,2,5,2,5,2,1,2,5,5,0,0,1,1,1,1,2,1,5,2,1,1,0,0,1
7,6,1,6,0,6,6,0,5,4,1,0,1,0,1,4,4,0,5,0,0,0,7,7,0,6,0,1,2,7,0,6,0,5,7,6,1,7,7,0,6,6,5,4,7,6,1,7,6,7,6,4,6,7,7,0,5,4,1,1,4,6,4,7,6,4,4,0,0,1
6,3,3,0,1,3,3,0,3,5,2,2,3,0,2,3,3,0,3,0,0,0,6,6,0,3,0,3,1,6,0,3,0,3,6,3,3,6,6,0,3,3,3,5,6,3,2,6,3,6,3,5,0,6,6,0,3,5,2,3,3,3,3,6,3,3,3,0,0,1
3,3,2,2,0,3,3,0,2,3,0,5,2,0,2,2,3,0,4,0,0,0,3,3,0,3,0,2,0,3,0,3,0,2,3,3,2,3,3,0,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,0,2,3,0,2,2,3,2,3,3,2,3,0,0,1
3,2,3,0,1,2,2,0,0,1,0,2,3,0,0,3,3,0,3,0,0,0,3,3,0,2,0,3,0,3,0,2,0,0,3,2,3,3,3,0,2,2,0,1,3,2,0,3,2,3,2,1,0,3,3,0,0,1,0,3,3,2,3,3,2,3,3,0,0,1
10,9,1,5,1,9,9,0,1,2,0,0,1,0,2,1,1,0,1,0,0,0,10,10,0,9,0,1,0,10,0,9,0,1,10,9,1,10,10,0,9,9,1,2,10,9,2,10,9,10,9,2,5,10,10,0,1,2,0,1,1,9,1,10,9,1,1,0,0,1
1,6,3,1,0,6,6,0,0,2,7,0,3,0,1,1,1,0,1,0,0,0,1,1,0,6,0,3,0,1,0,6,0,0,1,6,3,1,1,0,6,6,0,2,1,6,1,1,6,1,6,2,1,1,1,0,0,2,7,3,1,6,1,1,6,1,1,0,0,1
3,1,0,1,6,1,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,3,3,0,1,0,0,0,3,0,1,0,0,3,1,0,3,3,0,1,1,0,1,3,1,0,3,1,3,1,1,1,3,3,0,0,1,0,0,1,1,1,3,1,1,1,0,0,1
5,2,0,1,1,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,5,5,0,2,0,0,0,5,0,2,0,1,5,2,0,5,5,0,2,2,1,1,5,2,0,5,2,5,2,1,1,5,5,0,1,1,0,0,1,2,1,5,2,1,1,0,0,1
4,1,0,6,8,1,1,0,3,7,0,1,0,0,7,1,1,0,1,0,0,0,4,4,0,1,0,0,1,4,0,1,0,3,4,1,0,4,4,0,1,1,3,7,4,1,7,4,1,4,1,7,6,4,4,0,3,7,0,0,1,1,1,4,1,1,1,0,0,1
12,16,9,3,2,16,16,0,5,12,6,3,9,0,5,8,7,0,7,0,0,0,12,12,0,16,0,9,1,12,0,16,0,5,12,16,9,12,12,0,16,16,5,12,12,16,5,12,16,12,16,12,3,12,12,0,5,12,6,9,8,16,8,12,16,8,7,0,0,1
