@relation TrainMatrixB
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute attr9 {0,1}
@attribute attr10 {0,1}
@attribute attr11 {0,1}
@attribute attr12 {0,1}
@attribute attr13 {0,1}
@attribute attr14 {0,1}
@attribute attr15 {0,1}
@attribute attr16 {0,1}
@attribute attr17 {0,1}
@attribute attr18 {0,1}
@attribute attr19 {0,1}
@attribute attr20 {0,1}
@attribute attr21 {0,1}
@attribute attr22 {0,1}
@attribute attr23 {0,1}
@attribute attr24 {0,1}
@attribute attr25 {0,1}
@attribute attr26 {0,1}
@attribute attr27 {0,1}
@attribute attr28 {0,1}
@attribute attr29 {0,1}
@attribute attr30 {0,1}
@attribute attr31 {0,1}
@attribute attr32 {0,1}
@attribute attr33 {0,1}
@attribute attr34 {0,1}
@attribute attr35 {0,1}
@attribute attr36 {0,1}
@attribute attr37 {0,1}
@attribute attr38 {0,1}
@attribute attr39 {0,1}
@attribute attr40 {0,1}
@attribute attr41 {0,1}
@attribute attr42 {0,1}
@attribute attr43 {0,1}
@attribute attr44 {0,1}
@attribute attr45 {0,1}
@attribute attr46 {0,1}
@attribute attr47 {0,1}
@attribute attr48 {0,1}
@attribute attr49 {0,1}
@attribute attr50 {0,1}
@attribute attr51 {0,1}
@attribute attr52 {0,1}
@attribute attr53 {0,1}
@attribute attr54 {0,1}
@attribute attr55 {0,1}
@attribute attr56 {0,1}
@attribute attr57 {0,1}
@attribute attr58 {0,1}
@attribute attr59 {0,1}
@attribute attr60 {0,1}
@attribute attr61 {0,1}
@attribute attr62 {0,1}
@attribute attr63 {0,1}
@attribute attr64 {0,1}
@attribute attr65 {0,1}
@attribute attr66 {0,1}
@attribute attr67 {0,1}
@attribute attr68 {0,1}
@attribute attr69 {0,1}
@attribute class {0,1}
@data
1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
3,1,0,1,1,1,1,0,1,2,2,0,0,0,3,1,1,0,2,0,0,0,3,3,0,1,0,0,0,3,0,1,0,1,3,1,0,3,3,0,1,1,1,2,3,1,3,3,1,3,1,2,1,3,3,0,1,2,2,0,1,1,1,3,1,1,1,0,0,1
4,4,3,1,3,4,4,0,2,3,4,1,3,0,2,3,3,0,4,0,0,0,4,4,0,4,0,3,0,4,0,4,0,2,4,4,3,4,4,0,4,4,2,3,4,4,2,4,4,4,4,3,1,4,4,0,2,3,4,3,3,4,3,4,4,3,3,0,0,1
1,1,0,1,0,1,1,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,1,1,1,1,1,1,0,0,1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
6,8,2,1,1,8,8,0,2,2,7,2,2,0,2,2,2,0,2,0,0,0,6,6,0,8,0,2,2,6,0,8,0,2,6,8,2,6,6,0,8,8,2,2,6,8,2,6,8,6,8,2,1,6,6,0,2,2,7,2,2,8,2,6,8,2,2,0,0,1
3,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,3,0,0,0,0,3,0,1,3,3,0,0,0,0,0,3,0,0,3,0,3,0,0,3,3,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1
10,10,7,5,1,10,10,0,9,5,2,4,7,0,7,1,1,0,1,0,0,0,10,10,0,10,0,7,5,10,0,10,0,9,10,10,7,10,10,0,10,10,9,5,10,10,7,10,10,10,10,5,5,10,10,0,9,5,2,7,1,10,1,10,10,1,1,0,0,1
5,6,4,4,1,6,6,0,2,3,3,4,4,0,2,1,0,0,0,0,0,0,5,5,0,6,0,4,1,5,0,6,0,2,5,6,4,5,5,0,6,6,2,3,5,6,2,5,6,5,6,3,4,5,5,0,2,3,3,4,1,6,1,5,6,1,0,0,0,1
6,6,4,1,6,6,6,0,3,1,6,6,4,0,2,1,1,0,1,0,0,0,6,6,0,6,0,4,2,6,0,6,0,3,6,6,4,6,6,0,6,6,3,1,6,6,2,6,6,6,6,1,1,6,6,0,3,1,6,4,1,6,1,6,6,1,1,0,0,1
4,3,1,1,1,3,3,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,4,4,0,3,0,1,0,4,0,3,0,0,4,3,1,4,4,0,3,3,0,2,4,3,0,4,3,4,3,2,1,4,4,0,0,2,0,1,0,3,0,4,3,0,0,0,0,1
0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2,1,1,2,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,2,0,1,0,0,2,1,1,2,2,0,1,1,0,0,2,1,0,2,1,2,1,0,2,2,2,0,0,0,0,1,0,1,0,2,1,0,0,0,0,1
4,5,1,1,2,5,5,0,4,1,3,1,1,0,1,2,1,0,1,0,0,0,4,4,0,5,0,1,0,4,0,5,0,4,4,5,1,4,4,0,5,5,4,1,4,5,1,4,5,4,5,1,1,4,4,0,4,1,3,1,2,5,2,4,5,2,1,0,0,1
4,3,3,1,0,3,3,0,3,2,3,3,3,0,2,2,2,0,2,0,0,0,4,4,0,3,0,3,2,4,0,3,0,3,4,3,3,4,4,0,3,3,3,2,4,3,2,4,3,4,3,2,1,4,4,0,3,2,3,3,2,3,2,4,3,2,2,0,0,1
4,2,2,2,3,2,2,0,1,2,3,3,2,0,2,2,2,0,2,0,0,0,4,4,0,2,0,2,0,4,0,2,0,1,4,2,2,4,4,0,2,2,1,2,4,2,2,4,2,4,2,2,2,4,4,0,1,2,3,2,2,2,2,4,2,2,2,0,0,1
18,13,5,10,0,13,13,0,13,12,15,5,5,0,5,9,5,0,6,0,0,0,18,18,0,13,0,5,2,18,0,13,0,13,18,13,5,18,18,0,13,13,13,12,18,13,5,18,13,18,13,12,10,18,18,0,13,12,15,5,9,13,9,18,13,9,5,0,0,1
15,6,7,5,2,6,6,0,4,12,6,5,7,0,9,2,2,0,2,0,0,0,15,15,0,6,0,7,2,15,0,6,0,4,15,6,7,15,15,0,6,6,4,12,15,6,9,15,6,15,6,12,5,15,15,0,4,12,6,7,2,6,2,15,6,2,2,0,0,1
2,4,1,0,3,4,4,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,2,2,0,4,0,1,1,2,0,4,0,1,2,4,1,2,2,0,4,4,1,2,2,4,1,2,4,2,4,2,0,2,2,0,1,2,0,1,0,4,0,2,4,0,0,0,0,1
7,4,4,2,16,4,4,0,3,3,1,1,4,0,3,1,0,0,0,0,0,0,7,7,0,4,0,4,0,7,0,4,0,3,7,4,4,7,7,0,4,4,3,3,7,4,3,7,4,7,4,3,2,7,7,0,3,3,1,4,1,4,1,7,4,1,0,0,0,1
3,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,1,3,0,1,3,0,3,0,1,0,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1
2,2,1,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,1,2,0,2,0,0,2,2,1,2,2,0,2,2,0,1,2,2,0,2,2,2,2,1,0,2,2,0,0,1,0,1,0,2,0,2,2,0,0,0,0,1
2,2,2,1,1,2,2,0,1,3,2,3,2,0,3,1,0,0,0,0,0,0,2,2,0,2,0,2,2,2,0,2,0,1,2,2,2,2,2,0,2,2,1,3,2,2,3,2,2,2,2,3,1,2,2,0,1,3,2,2,1,2,1,2,2,1,0,0,0,1
3,2,2,0,0,2,2,0,1,2,3,2,2,0,2,4,3,0,3,0,0,0,3,3,0,2,0,2,0,3,0,2,0,1,3,2,2,3,3,0,2,2,1,2,3,2,2,3,2,3,2,2,0,3,3,0,1,2,3,2,4,2,4,3,2,4,3,0,0,1
5,6,4,2,25,6,6,0,4,0,3,12,4,0,0,0,0,0,0,0,0,0,5,5,0,6,0,4,5,5,0,6,0,4,5,6,4,5,5,0,6,6,4,0,5,6,0,5,6,5,6,0,2,5,5,0,4,0,3,4,0,6,0,5,6,0,0,0,0,1
14,22,3,3,15,22,22,0,8,3,2,2,3,0,4,8,6,0,6,0,0,0,14,14,0,22,0,3,2,14,0,22,0,8,14,22,3,14,14,0,22,22,8,3,14,22,4,14,22,14,22,3,3,14,14,0,8,3,2,3,8,22,8,14,22,8,6,0,0,1
4,5,2,3,1,5,5,0,6,2,5,2,2,0,0,1,1,0,1,0,0,0,4,4,0,5,0,2,3,4,0,5,0,6,4,5,2,4,4,0,5,5,6,2,4,5,0,4,5,4,5,2,3,4,4,0,6,2,5,2,1,5,1,4,5,1,1,0,0,1
1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
4,3,5,2,0,3,3,0,3,2,1,4,5,0,3,1,1,0,1,0,0,0,4,4,0,3,0,5,2,4,0,3,0,3,4,3,5,4,4,0,3,3,3,2,4,3,3,4,3,4,3,2,2,4,4,0,3,2,1,5,1,3,1,4,3,1,1,0,0,1
12,11,7,0,12,11,11,0,11,8,11,6,7,0,9,6,6,0,6,0,0,0,12,12,0,11,0,7,4,12,0,11,0,11,12,11,7,12,12,0,11,11,11,8,12,11,9,12,11,12,11,8,0,12,12,0,11,8,11,7,6,11,6,12,11,6,6,0,0,1
2,2,1,1,2,2,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0,2,0,1,0,2,0,2,0,0,2,2,1,2,2,0,2,2,0,0,2,2,0,2,2,2,2,0,1,2,2,0,0,0,0,1,1,2,1,2,2,1,1,0,0,1
3,4,2,2,1,4,4,0,1,3,2,0,2,0,2,1,1,0,1,0,0,0,3,3,0,4,0,2,0,3,0,4,0,1,3,4,2,3,3,0,4,4,1,3,3,4,2,3,4,3,4,3,2,3,3,0,1,3,2,2,1,4,1,3,4,1,1,0,0,1
16,10,6,3,13,10,10,0,5,0,0,5,6,0,0,1,1,0,1,0,0,0,16,16,0,10,0,6,4,16,0,10,0,5,16,10,6,16,16,0,10,10,5,0,16,10,0,16,10,16,10,0,3,16,16,0,5,0,0,6,1,10,1,16,10,1,1,0,0,1
1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
7,2,3,3,0,2,2,0,2,2,0,0,3,0,2,0,0,0,0,0,0,0,7,7,0,2,0,3,0,7,0,2,0,2,7,2,3,7,7,0,2,2,2,2,7,2,2,7,2,7,2,2,3,7,7,0,2,2,0,3,0,2,0,7,2,0,0,0,0,1
7,3,1,2,8,3,3,0,1,2,1,1,1,0,2,3,2,0,2,0,0,0,7,7,0,3,0,1,1,7,0,3,0,1,7,3,1,7,7,0,3,3,1,2,7,3,2,7,3,7,3,2,2,7,7,0,1,2,1,1,3,3,3,7,3,3,2,0,0,1
5,5,3,2,2,5,5,0,2,1,5,3,3,0,1,1,1,0,1,0,0,0,5,5,0,5,0,3,3,5,0,5,0,2,5,5,3,5,5,0,5,5,2,1,5,5,1,5,5,5,5,1,2,5,5,0,2,1,5,3,1,5,1,5,5,1,1,0,0,1
1,0,1,1,1,0,0,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,1,0,1,1,0,1,0,2,1,1,1,0,0,2,1,1,1,0,1,1,0,1,0,0,0,1
3,4,1,2,1,4,4,0,4,3,2,1,1,0,1,1,1,0,1,0,0,0,3,3,0,4,0,1,0,3,0,4,0,4,3,4,1,3,3,0,4,4,4,3,3,4,1,3,4,3,4,3,2,3,3,0,4,3,2,1,1,4,1,3,4,1,1,0,0,1
15,20,9,9,3,20,20,0,16,7,2,6,9,0,4,7,2,0,5,0,0,0,15,15,0,20,0,9,2,15,0,20,0,16,15,20,9,15,15,0,20,20,16,7,15,20,4,15,20,15,20,7,9,15,15,0,16,7,2,9,7,20,7,15,20,7,2,0,0,1
6,2,4,0,3,2,2,0,0,3,3,3,4,0,1,1,1,0,1,0,0,0,6,6,0,2,0,4,0,6,0,2,0,0,6,2,4,6,6,0,2,2,0,3,6,2,1,6,2,6,2,3,0,6,6,0,0,3,3,4,1,2,1,6,2,1,1,0,0,1
3,6,1,2,2,6,6,0,4,3,3,1,1,0,1,0,0,0,0,0,0,0,3,3,0,6,0,1,1,3,0,6,0,4,3,6,1,3,3,0,6,6,4,3,3,6,1,3,6,3,6,3,2,3,3,0,4,3,3,1,0,6,0,3,6,0,0,0,0,1
5,2,0,1,0,2,2,0,2,1,0,0,0,0,1,1,1,0,1,0,0,0,5,5,0,2,0,0,0,5,0,2,0,2,5,2,0,5,5,0,2,2,2,1,5,2,1,5,2,5,2,1,1,5,5,0,2,1,0,0,1,2,1,5,2,1,1,0,0,1
11,7,3,4,2,7,7,0,6,7,7,8,3,0,6,3,2,0,2,0,0,0,11,11,0,7,0,3,1,11,0,7,0,6,11,7,3,11,11,0,7,7,6,7,11,7,6,11,7,11,7,7,4,11,11,0,6,7,7,3,3,7,3,11,7,3,2,0,0,1
4,3,0,2,1,3,3,0,1,2,0,1,0,0,2,1,1,0,1,0,0,0,4,4,0,3,0,0,0,4,0,3,0,1,4,3,0,4,4,0,3,3,1,2,4,3,2,4,3,4,3,2,2,4,4,0,1,2,0,0,1,3,1,4,3,1,1,0,0,1
3,1,1,1,2,1,1,0,0,3,1,1,1,0,1,1,1,0,1,0,0,0,3,3,0,1,0,1,0,3,0,1,0,0,3,1,1,3,3,0,1,1,0,3,3,1,1,3,1,3,1,3,1,3,3,0,0,3,1,1,1,1,1,3,1,1,1,0,0,1
3,2,0,2,2,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,2,0,0,0,3,0,2,0,1,3,2,0,3,3,0,2,2,1,1,3,2,1,3,2,3,2,1,2,3,3,0,1,1,0,0,0,2,0,3,2,0,0,0,0,1
4,1,2,0,1,1,1,0,2,2,1,0,2,0,1,1,1,0,1,0,0,0,4,4,0,1,0,2,0,4,0,1,0,2,4,1,2,4,4,0,1,1,2,2,4,1,1,4,1,4,1,2,0,4,4,0,2,2,1,2,1,1,1,4,1,1,1,0,0,1
3,3,1,2,4,3,3,0,3,1,2,1,1,0,1,1,1,0,1,0,0,0,3,3,0,3,0,1,0,3,0,3,0,3,3,3,1,3,3,0,3,3,3,1,3,3,1,3,3,3,3,1,2,3,3,0,3,1,2,1,1,3,1,3,3,1,1,0,0,1
