CutsNumber,Cut0,Cut0Score,Cut0Class0CosSim,Cut0Class1CosSim,Cut1,Cut1Score,Cut1Class0CosSim,Cut1Class1CosSim,Cut2,Cut2Score,Cut2Class0CosSim,Cut2Class1CosSim,Cut3,Cut3Score,Cut3Class0CosSim,Cut3Class1CosSim
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,1517,1.07567829976413,0.512427497417941,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,941.6,1.02138874176727,0.521129882590606,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,2.9,1.01448660119052,0.540706222405921,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,2.2,1.01448660119052,0.540706222405921,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,5043.1,1.00738231331947,0.51928298723033,0.123109929161101,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,4420.8,1.00738231331947,0.51928298723033,0.123109929161101,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,4239,1.00738231331947,0.51928298723033,0.123109929161101,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,4.4,0.990329696400223,0.622479575272501,0.190803708358495,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,5,0.990329696400223,0.622479575272501,0.190803708358495,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,873.7,0.903054186050804,0.564161191815282,0.161110074425725,5246.6,0.982960799825944,0.512427497417941,0.123109929161101,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,887,0.903054186050804,0.564161191815282,0.161110074425725,1517,1.07567829976413,0.512427497417941,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,887,0.903054186050804,0.564161191815282,0.161110074425725,941.6,1.02138874176727,0.521129882590606,0.161110074425725,TOTAL
4,3.6,0.58833640125994,0.331096076704132,0.0587558227157213,2,0.773771401136313,0.24513837672421,0.0587558227157213,887,0.903054186050804,0.564161191815282,0.161110074425725,2.9,1.01448660119052,0.540706222405921,0.161110074425725,TOTAL
